youtube_id,start_seconds,end_seconds,onto
---1_cCGK4M,0.000,10.000,/m/07jdr
--04kMEQOAs,0.000,10.000,/m/06h7j
--2XRMjyizo,0.000,10.000,/m/015p6
--2u0ZyO3x0,30.000,40.000,/m/03m9d0z
--330hg-Ocw,30.000,40.000,/m/02mk9
--5uHDNDKxs,30.000,40.000,/m/01yrx
--6YSADAJ58,0.000,7.000,/m/06h7j
--7jZxfzemI,13.000,23.000,/m/0bt9lr
--8puiAGLhs,30.000,40.000,/m/02mk9
--AErD4Wx6c,0.000,10.000,/m/015p6
--Aig9EHjy0,30.000,40.000,/m/03m9d0z
--B7YBAygZU,0.000,10.000,/m/03qtwd
--BFPeFaj2o,0.000,10.000,/m/07jdr
--BIwg9KRxI,130.000,140.000,/m/06bz3
--Bu2xe4OSo,430.000,440.000,/m/03m9d0z
--CE2f-ttEQ,30.000,40.000,/m/0bt9lr
--Dxk606LRQ,30.000,40.000,/m/02mk9
--EG-JqO4S0,30.000,40.000,/m/02mk9
--ERHDSdxGQ,30.000,40.000,/m/0bt9lr
--HG_OhVeV4,30.000,40.000,/m/015p6
--H_-CEB2wA,30.000,40.000,/m/07jdr
--HiqZbHZUE,30.000,40.000,/m/06h7j
--I2373YpgM,30.000,40.000,/m/03k3r
--IVng5n_Mw,15.000,25.000,/m/03k3r
--KCIeTv6PM,18.000,28.000,/m/01yrx
--KYALrhHy4,30.000,40.000,/m/03qtwd
--L22BmDI6E,12.000,22.000,/m/0bt9lr
--Lj4Y_96f0,120.000,130.000,/m/03vt0
--PMnfMhn1A,30.000,40.000,/m/03qtwd
--PYBsJw4l0,140.000,150.000,/m/07jdr
--PpjbpSCe8,30.000,40.000,/m/06bz3
--RBwc_VFYA,30.000,40.000,/m/06mb1
--TVIL5GVrw,30.000,40.000,/m/06bz3
--YiwOrObMM,60.000,70.000,/m/015p6
--aVt0_KbIs,30.000,40.000,/m/02mk9
--ahHsLBT7I,110.000,120.000,/m/03m9d0z
--djLRDZsJI,40.000,50.000,/m/0bt9lr
--dr8rXrv8k,23.000,33.000,/m/01yrx
--hS-CvxCNQ,420.000,430.000,/m/07jdr
--hq8wmLHHQ,30.000,40.000,/m/03k3r
--j5O-EaSUM,30.000,40.000,/m/015p6
--jGnLqFsQ4,24.000,34.000,/m/02mk9
--kcclzNEZQ,30.000,40.000,/m/02mk9
--lKwp2nVm0,30.000,40.000,/m/02mk9
--nZlHfGCD0,18.000,28.000,/m/01yrx
--pQ2j2x10I,120.000,130.000,/m/015p6
--qT7KiCpEE,30.000,40.000,/m/06h7j
--sIMPsphRI,10.000,20.000,/m/0bt9lr
--uhc3sHpTM,30.000,40.000,/m/02mk9
--v1WjOJv-w,150.000,160.000,/m/02mk9
--v7FsvvYng,40.000,50.000,/m/015p6
--vPt3oQiUA,400.000,410.000,/m/015p6
--vaR52CM6k,30.000,40.000,/m/03m9d0z
--vxCdoNjlU,30.000,40.000,/m/06bz3
--xDCyf8_so,10.000,20.000,/m/03m9d0z
--zej0hXqC4,30.000,40.000,/m/02mk9
-02m1Zi-IXI,550.000,560.000,/m/07jdr
-02sZMlMYIk,350.000,360.000,/m/06mb1
-03xYBbIt_8,30.000,40.000,/m/015p6
-06SaXocpZg,30.000,40.000,/m/02mk9
-08IuAXloCI,60.000,70.000,/m/03qtwd
-0A1_JR5f34,16.000,26.000,/m/0bt9lr
-0BScjoz3Z0,10.000,20.000,/m/0bt9lr
-0Clh7A3hMI,160.000,170.000,/m/015p6
-0DIFwkUpjQ,50.000,60.000,/m/06_fw
-0DxV8ZawEU,370.000,380.000,/m/03qtwd
-0GasiOh-Xg,30.000,40.000,/m/03qtwd
-0GasiOh-Xg,30.000,40.000,/m/06h7j
-0HsrVfb5vc,20.000,30.000,/m/02mk9
-0Hxe_afHfg,30.000,40.000,/m/03k3r
-0J9HfwJ08c,30.000,40.000,/m/02mk9
-0KzkJ7kR8A,30.000,40.000,/m/03k3r
-0M2V3EJXRU,70.000,80.000,/m/07jdr
-0TTFAArJ9k,30.000,40.000,/m/03k3r
-0USAEd2uzo,20.000,30.000,/m/015p6
-0WVqxsroZU,30.000,40.000,/m/06bz3
-0W_OcvA9tc,0.000,10.000,/m/015p6
-0Xu9731yes,30.000,40.000,/m/06bz3
-0ZCmp8GAHc,30.000,40.000,/m/06h7j
-0ZYABQSn0k,30.000,40.000,/m/06bz3
-0ZlDLi26LE,10.000,20.000,/m/02mk9
-0ZpDZCQXDQ,30.000,40.000,/m/06h7j
-0_KbooWzvY,10.000,20.000,/m/03qtwd
-0cyHrzEI5A,30.000,40.000,/m/06bz3
-0d6GOvAoS0,0.000,10.000,/m/02mk9
-0hzj4pp4I8,210.000,220.000,/m/03m9d0z
-0nSANmuPxU,10.000,20.000,/m/0bt9lr
-0pAOcIsozE,230.000,240.000,/m/015p6
-0pZsnG1MAI,30.000,40.000,/m/02mk9
-0qVjqx4X-E,30.000,40.000,/m/07jdr
-0sDdBQt3Gc,60.000,70.000,/m/07jdr
-0term1xZJg,80.000,90.000,/m/03vt0
-0x3rJPqtPY,140.000,150.000,/m/01yrx
-0yQTraiAUY,30.000,40.000,/m/015p6
-10iTt002ww,30.000,40.000,/m/06bz3
-12u6M_R7t4,30.000,40.000,/m/02mk9
-13Jwzl7qHI,70.000,80.000,/m/06bz3
-13Pk7i8cGg,30.000,40.000,/m/06bz3
-17PBbWKfzs,10.000,20.000,/m/03m9d0z
-1AFJlxFF5o,30.000,40.000,/m/03qtwd
-1Aq2vO90x0,100.000,110.000,/m/0bt9lr
-1CyM_QhpXA,30.000,40.000,/m/015p6
-1DIETxHTIU,21.000,31.000,/m/06h7j
-1Hu_O-dosg,30.000,40.000,/m/0g6b5
