youtube_id,start_second,end_second,onto
---1_cCGK4M,0.0,10.0,/m/07jdr
--04kMEQOAs,0.0,10.0,/m/06h7j
--2XRMjyizo,0.0,10.0,/m/015p6
--2u0ZyO3x0,30.0,40.0,/m/03m9d0z
--330hg-Ocw,30.0,40.0,/m/02mk9
--5uHDNDKxs,30.0,40.0,/m/01yrx
--6YSADAJ58,0.0,7.0,/m/06h7j
--7jZxfzemI,13.0,23.0,/m/0bt9lr
--8puiAGLhs,30.0,40.0,/m/02mk9
--AErD4Wx6c,0.0,10.0,/m/015p6
--Aig9EHjy0,30.0,40.0,/m/03m9d0z
--B7YBAygZU,0.0,10.0,/m/03qtwd
--BFPeFaj2o,0.0,10.0,/m/07jdr
--BIwg9KRxI,130.0,140.0,/m/06bz3
--Bu2xe4OSo,430.0,440.0,/m/03m9d0z
--CE2f-ttEQ,30.0,40.0,/m/0bt9lr
--Dxk606LRQ,30.0,40.0,/m/02mk9
--EG-JqO4S0,30.0,40.0,/m/02mk9
--ERHDSdxGQ,30.0,40.0,/m/0bt9lr
--Fti-jdXEI,240.0,250.0,/m/0y4f8
--HG_OhVeV4,30.0,40.0,/m/015p6
--H_-CEB2wA,30.0,40.0,/m/07jdr
--HiqZbHZUE,30.0,40.0,/m/06h7j
--I2373YpgM,30.0,40.0,/m/03k3r
--IVng5n_Mw,15.0,25.0,/m/03k3r
--KCIeTv6PM,18.0,28.0,/m/01yrx
--KYALrhHy4,30.0,40.0,/m/03qtwd
--L22BmDI6E,12.0,22.0,/m/0bt9lr
--Lj4Y_96f0,120.0,130.0,/m/03vt0
--PMnfMhn1A,30.0,40.0,/m/03qtwd
--PYBsJw4l0,140.0,150.0,/m/07jdr
--PpjbpSCe8,30.0,40.0,/m/06bz3
--RBwc_VFYA,30.0,40.0,/m/06mb1
--STuLJ8vL0,400.0,410.0,/m/0_ksk
--TVIL5GVrw,30.0,40.0,/m/06bz3
--YiwOrObMM,60.0,70.0,/m/015p6
--aVt0_KbIs,30.0,40.0,/m/02mk9
--ahHsLBT7I,110.0,120.0,/m/03m9d0z
--djLRDZsJI,40.0,50.0,/m/0bt9lr
--dr8rXrv8k,23.0,33.0,/m/01yrx
--hS-CvxCNQ,420.0,430.0,/m/07jdr
--hq8wmLHHQ,30.0,40.0,/m/03k3r
--j5O-EaSUM,30.0,40.0,/m/015p6
--jGnLqFsQ4,24.0,34.0,/m/02mk9
--kcclzNEZQ,30.0,40.0,/m/02mk9
--lKwp2nVm0,30.0,40.0,/m/02mk9
--nZlHfGCD0,18.0,28.0,/m/01yrx
--pQ2j2x10I,120.0,130.0,/m/015p6
--qT7KiCpEE,30.0,40.0,/m/06h7j
--sIMPsphRI,10.0,20.0,/m/0bt9lr
--uhc3sHpTM,30.0,40.0,/m/02mk9
--v1WjOJv-w,150.0,160.0,/m/02mk9
--v7FsvvYng,40.0,50.0,/m/015p6
--vPt3oQiUA,400.0,410.0,/m/015p6
--vaR52CM6k,30.0,40.0,/m/03m9d0z
--vxCdoNjlU,30.0,40.0,/m/06bz3
--xDCyf8_so,10.0,20.0,/m/03m9d0z
--zej0hXqC4,30.0,40.0,/m/02mk9
-02m1Zi-IXI,550.0,560.0,/m/07jdr
-02sZMlMYIk,350.0,360.0,/m/06mb1
-03xYBbIt_8,30.0,40.0,/m/015p6
-06SaXocpZg,30.0,40.0,/m/02mk9
-08IuAXloCI,60.0,70.0,/m/03qtwd
-0A1_JR5f34,16.0,26.0,/m/0bt9lr
-0A8-330SIo,10.0,20.0,/m/07qlf79
-0BScjoz3Z0,10.0,20.0,/m/0bt9lr
-0Clh7A3hMI,160.0,170.0,/m/015p6
-0DIFwkUpjQ,50.0,60.0,/m/06_fw
-0DxV8ZawEU,370.0,380.0,/m/03qtwd
-0GasiOh-Xg,30.0,40.0,"/m/03qtwd, /m/06h7j"
-0HsrVfb5vc,20.0,30.0,/m/02mk9
-0Hxe_afHfg,30.0,40.0,/m/03k3r
-0J9HfwJ08c,30.0,40.0,/m/02mk9
-0KzkJ7kR8A,30.0,40.0,/m/03k3r
-0M2V3EJXRU,70.0,80.0,/m/07jdr
-0OEjH7pYI0,30.0,40.0,/m/07qlf79
-0TTFAArJ9k,30.0,40.0,/m/03k3r
-0UMiMtm5eg,9.0,19.0,/m/07qlf79
-0USAEd2uzo,20.0,30.0,/m/015p6
-0WVqxsroZU,30.0,40.0,/m/06bz3
-0W_OcvA9tc,0.0,10.0,/m/015p6
-0Xu9731yes,30.0,40.0,/m/06bz3
-0ZCmp8GAHc,30.0,40.0,/m/06h7j
-0ZYABQSn0k,30.0,40.0,/m/06bz3
-0ZlDLi26LE,10.0,20.0,/m/02mk9
-0ZpDZCQXDQ,30.0,40.0,/m/06h7j
-0_KbooWzvY,10.0,20.0,/m/03qtwd
-0cmQEHsMTg,0.0,10.0,/m/0y4f8
-0cyHrzEI5A,30.0,40.0,/m/06bz3
-0d6GOvAoS0,0.0,10.0,/m/02mk9
-0hzj4pp4I8,210.0,220.0,/m/03m9d0z
-0nSANmuPxU,10.0,20.0,/m/0bt9lr
-0oATToMy2s,30.0,40.0,/m/07qlf79
-0pAOcIsozE,230.0,240.0,/m/015p6
-0pZsnG1MAI,30.0,40.0,/m/02mk9
-0qVjqx4X-E,30.0,40.0,/m/07jdr
-0sDdBQt3Gc,60.0,70.0,/m/07jdr
-0term1xZJg,80.0,90.0,/m/03vt0
-0ve74g7vt8,30.0,40.0,/m/07qlf79
-0x3rJPqtPY,140.0,150.0,/m/01yrx
-0yQTraiAUY,30.0,40.0,/m/015p6
-10iTt002ww,30.0,40.0,/m/06bz3
-12u6M_R7t4,30.0,40.0,/m/02mk9
-13Jwzl7qHI,70.0,80.0,/m/06bz3
-13Pk7i8cGg,30.0,40.0,/m/06bz3
-16o4Nzh9rQ,220.0,230.0,/m/0_ksk
-17PBbWKfzs,10.0,20.0,/m/03m9d0z
-1AFJlxFF5o,30.0,40.0,/m/03qtwd
-1Aq2vO90x0,100.0,110.0,/m/0bt9lr
-1B_4X9Uhpw,440.0,450.0,/m/02k_mr
-1CyM_QhpXA,30.0,40.0,/m/015p6
-1DIETxHTIU,21.0,31.0,/m/06h7j
-1Hu_O-dosg,30.0,40.0,/m/0g6b5
-1ImGb1dgSM,30.0,40.0,/m/06bz3
-1KAjPp2-Vc,120.0,130.0,/m/0bt9lr
-1KZoXPP3MQ,30.0,40.0,/m/015p6
-1LWu5AUUIk,30.0,40.0,/m/06bz3
-1MI9kA3IgE,19.0,29.0,/m/015p6
-1O8bucXb5E,30.0,40.0,/m/02mk9
-1OFFsHQb9I,30.0,40.0,/m/06bz3
-1PkCejU5u8,370.0,380.0,/m/03qtwd
-1PpGe_fk6U,30.0,40.0,/m/02mk9
-1Rs-GV7Mvg,30.0,40.0,/m/03m9d0z
-1SKsJayTP4,0.0,7.0,/m/015p6
-1UleAsNU_4,30.0,40.0,/m/0bt9lr
-1VsFy0eVJs,30.0,40.0,/m/07jdr
-1X7kpLnOpM,60.0,70.0,/m/07jdr
-1XUnm0C3nc,30.0,40.0,/m/0bt9lr
-1XucGQTidc,0.0,10.0,/m/03qtwd
-1YlkNTq1s8,30.0,40.0,/m/015p6
-1ZpO5KFmXE,40.0,50.0,/m/0y4f8
-1ZriUdBfBw,80.0,90.0,/m/0_ksk
-1_OeHlE7DM,310.0,320.0,/m/03qtwd
-1bchAh0bCk,30.0,40.0,/m/02mk9
-1fF5PUpEMs,30.0,40.0,/m/0bt9lr
-1gnqVuvMqg,30.0,40.0,/m/0bt9lr
-1guPbH2s3Y,27.0,37.0,/m/02mk9
-1i59xDsdUg,30.0,40.0,/m/03qtwd
-1inFdjAq9I,10.0,20.0,/m/05kq4
-1lxjIhjX3A,30.0,40.0,/m/015p6
-1oRfe0FQI8,60.0,70.0,/m/07jdr
-1sKXYLyeNQ,30.0,40.0,"/m/03qtwd, /m/06h7j"
-1trAjjZCe0,30.0,40.0,/m/06bz3
-1u_AGm9wZI,230.0,240.0,/m/07jdr
-1vTRuaEqzM,30.0,40.0,/m/06bz3
-1xXADXCgvM,110.0,120.0,/m/0y4f8
-1yKVg1aAaY,90.0,100.0,/m/0_ksk
-2--Xzix2Vk,0.0,7.0,/m/01yrx
-21GRnZ5a5I,30.0,40.0,/m/0bt9lr
-23mcDyOrw4,30.0,40.0,/m/03m9d0z
-24cKdvEPHs,20.0,30.0,/m/0bt9lr
-24upzjhJkE,30.0,40.0,/m/03k3r
-24wwSdO1HE,30.0,40.0,/m/06bz3
-26Wgq6bHbQ,30.0,40.0,/m/06bz3
-26ZR9AGm7k,30.0,40.0,/m/02mk9
-2B69OseZTM,10.0,20.0,/m/015p6
-2BR7sVLPCE,13.0,23.0,/m/01yrx
-2BgMUP1sec,50.0,60.0,/m/02mk9
-2BzUaIUUfo,30.0,40.0,/m/03qtwd
-2DU2bknrs0,30.0,40.0,/m/06bz3
-2GC25ao1Og,30.0,40.0,/m/02mk9
-2KQ62pcmQQ,30.0,40.0,/m/02mk9
-2KRiZOtNJk,30.0,40.0,/m/03qtwd
-2Kab3cm4Bg,30.0,40.0,/m/015p6
-2Kx6CLAbmA,30.0,40.0,/m/06bz3
-2MX_uVcsms,30.0,40.0,/m/01yrx
-2McDjUrwKQ,2.0,12.0,/m/02mk9
-2RFuBpj6WY,10.0,20.0,/m/015p6
-2RlWuqVMZw,30.0,40.0,/m/03k3r
-2T84hKp5pU,30.0,40.0,/m/0bt9lr
-2TWQG-UIug,40.0,50.0,/m/03k3r
-2WBGJ3rWX8,30.0,40.0,/m/03k3r
-2WOk5PgZyA,21.0,31.0,/m/06h7j
-2XABjjB1tU,110.0,120.0,/m/0bt9lr
-2XBwDNoQ9U,40.0,50.0,/m/05kq4
-2XEfT3k5yg,29.0,39.0,/m/01yrx
-2Z91q9BxJA,30.0,40.0,/m/03k3r
-2_dTWMRQ2A,30.0,40.0,/m/03k3r
-2f4hOfiX3w,30.0,40.0,/m/02mk9
-2fwxUR-qxQ,90.0,100.0,/m/015p6
-2gNbMZNmVA,30.0,40.0,/m/06bz3
-2kErLFAk5k,30.0,40.0,/m/01yrx
-2ksTQGTlLA,30.0,40.0,/m/02mk9
-2odIlonhas,140.0,150.0,/m/015p6
-2qN_WMJhPI,30.0,40.0,/m/0y4f8
-2rhnaYYBzk,0.0,6.0,/m/06h7j
-2v9WVGdBb0,16.0,26.0,/m/02mk9
-2vAeDyBB4o,30.0,40.0,/m/015p6
-2vScbsCNYA,30.0,40.0,/m/02mk9
-2va_YGrK_4,30.0,40.0,/m/015p6
-2wSfX2alxs,30.0,40.0,/m/0bt9lr
-2xUX-0HJ_k,10.0,20.0,/m/015p6
-2xjeuKOWwQ,120.0,130.0,"/m/02mk9, /m/0_ksk"
-2y-PbVFvIc,10.0,20.0,/m/03qtwd
-3-A7d6s9XE,30.0,40.0,/m/06h7j
-30N7ro_YwY,30.0,40.0,/m/06bz3
-30lTvRF2Po,30.0,40.0,/m/02mk9
-313pdpHsmU,17.0,27.0,/m/01yrx
-32m-gDlay8,30.0,40.0,/m/06bz3
-33X-UBnMlk,30.0,40.0,/m/06bz3
-34Wf7kcc9U,340.0,350.0,/m/07jdr
-37X0bRVT0g,140.0,150.0,/m/0bt9lr
-37slAvDsE8,30.0,40.0,/m/02mk9
-38FOBoZ3-E,0.0,10.0,/m/02mk9
-397h2-9q_M,30.0,40.0,/m/015p6
-39bG3uhNFw,230.0,240.0,"/m/03m9d0z, /m/05kq4"
-3Dd1J4gVL0,180.0,190.0,/m/06bz3
-3E36nmSffc,16.0,26.0,/m/01yrx
-3FEUzOy2rk,18.0,28.0,/m/02mk9
-3FIglJti0s,30.0,40.0,/m/07jdr
-3G_qZaN3MY,60.0,70.0,/m/015p6
-3I4GAaRKjg,30.0,40.0,/m/02mk9
-3L1zkUbHt8,21.0,31.0,/m/0bt9lr
-3OLyc_NtJY,7.0,17.0,/m/02mk9
-3OU3rAbb_k,430.0,440.0,/m/02k_mr
-3Ogirh4dRY,30.0,40.0,/m/015p6
-3PyRo4ZC2o,30.0,40.0,/m/06h7j
-3QZXFKWwEw,10.0,20.0,/m/06h7j
-3UBoojG6S0,200.0,210.0,/m/03qtwd
-3XTzkZ1J4o,510.0,520.0,/m/015p6
-3_Z64k3tXE,19.0,29.0,/m/02mk9
-3cmXbOJOoc,30.0,40.0,/m/0bt9lr
-3d2F1GLG3w,30.0,40.0,/m/02mk9
-3d7_wlVuV8,30.0,40.0,/m/02mk9
-3gGYJtngHU,110.0,120.0,/m/07jdr
-3jCQXtsa7A,30.0,40.0,/m/0bt9lr
-3jktZrtfus,30.0,40.0,/m/02k_mr
-3k4v-sIOH4,30.0,40.0,/m/06h7j
-3mneCr1xoI,30.0,40.0,/m/015p6
